open,high,low,close
357.9,357.9,357.7,357.7
357.7,358.05,357.7,357.7
357.75,357.85,357.5,357.55
357.5,357.85,357.3,357.6
357.4,357.95,357.4,357.95
357.95,359.15,357.95,358.85
358.9,359.5,358.9,359.0
359.0,359.85,359.0,359.55
359.75,359.75,359.1,359.1
359.4,359.4,358.45,358.7
358.7,358.9,358.4,358.5
358.55,358.55,357.55,358.0
357.75,358.4,357.75,358.25
358.05,358.25,357.4,357.65
357.65,358.15,357.65,357.9
357.8,358.0,357.5,357.9
357.7,357.95,357.55,357.8
357.8,357.8,357.3,357.3
357.35,357.55,357.0,357.2
357.2,357.2,357.0,357.1
357.1,357.2,356.7,356.95
356.75,356.95,355.4,355.7
356.0,356.15,355.4,355.75
356.2,356.65,355.8,356.5
356.15,356.25,355.7,356.0
355.8,356.0,355.35,355.35
355.35,356.5,355.3,356.5
356.5,357.3,356.35,357.0
357.0,358.0,356.75,357.85
357.95,357.95,356.4,356.55
356.35,357.2,356.25,357.0
356.7,357.0,356.55,356.85
356.85,357.0,356.5,356.5
356.8,356.8,356.35,356.5
356.7,357.0,356.4,356.65
356.55,356.8,356.4,356.5
356.5,356.8,356.45,356.55
356.55,356.8,356.1,356.25
356.25,356.5,356.0,356.2
356.2,356.45,355.7,356.25
356.25,356.4,355.7,356.0
356.0,356.0,355.5,355.9
355.9,356.05,355.6,355.8
355.8,355.8,355.2,355.7
355.7,356.0,355.5,355.8
355.8,356.5,355.8,356.15
356.1,356.45,356.0,356.3
356.3,356.4,355.85,356.1
356.15,356.3,355.95,355.95
355.95,356.5,355.95,356.3
356.35,356.5,355.65,356.0
355.75,356.35,355.75,356.15
356.15,356.2,355.75,356.0
355.7,356.0,355.65,356.0
355.65,356.0,355.65,355.75
355.75,356.0,355.55,356.0
355.6,355.65,355.1,355.1
355.25,355.25,354.7,355.0
354.7,355.1,354.5,354.8
355.0,355.5,354.6,355.15
355.25,355.5,355.05,355.05
355.1,355.3,354.85,354.9
354.75,354.9,354.2,354.5
354.3,354.85,354.3,354.85
354.55,354.9,353.25,354.25
354.05,354.05,352.95,353.2
353.1,353.35,352.55,352.8
352.7,352.95,352.15,352.35
352.1,352.95,352.0,352.65
352.85,354.6,352.65,354.05
354.3,354.55,353.5,353.85
353.85,354.0,353.05,353.4
353.45,353.75,353.0,353.45
353.05,353.55,353.05,353.5
353.25,353.8,353.2,353.75
353.9,354.3,353.6,354.3
354.3,355.25,354.1,355.0
355.2,355.45,353.65,354.0
354.25,354.4,354.0,354.2
354.2,354.45,354.0,354.2
354.2,354.3,353.6,353.9
353.9,354.2,353.55,353.75
353.95,354.0,353.65,353.85
353.75,354.0,353.2,353.2
353.4,353.6,353.2,353.45
353.3,353.45,353.1,353.1
353.3,353.45,353.05,353.2
353.4,353.5,353.05,353.45
353.45,353.5,353.25,353.3
353.3,353.5,353.3,353.4
353.3,353.4,353.05,353.05
353.3,353.3,352.9,352.9
