time,type,current,reward,risk,close
22,Long,115.98,116.98,114.98,114.57
50,Long,113.76,114.76,112.76,114.82
74,Long,116.22,117.22,115.22,117.5
107,Long,116.47,117.47,115.47,117.5
121,Long,115.84,116.84,114.84,116.9
141,Long,117.0,118.0,116.0,115.97
149,Long,117.5,118.5,116.5,116.41
161,Long,117.86,118.86,116.86,116.76
164,Long,117.67,118.67,116.67,116.41
194,Long,115.22,116.22,114.22,114.16
205,Long,115.34,116.34,114.34,114.16
221,Long,115.81,116.81,114.81,114.53
236,Long,115.16,116.16,114.16,114.16
257,Long,113.85,114.85,112.85,114.92
270,Long,114.09,115.09,113.09,112.57
282,Long,114.27,115.27,113.27,113.26
304,Long,112.7,113.7,111.7,113.95
330,Long,114.01,115.01,113.01,112.9
348,Long,113.7,114.7,112.7,114.78
360,Long,114.11,115.11,113.11,112.93
370,Long,113.77,114.77,112.77,114.78
388,Long,113.77,114.77,112.77,114.78
399,Long,113.55,114.55,112.55,114.78
421,Long,114.07,115.07,113.07,115.1
428,Long,114.43,115.43,113.43,115.43
445,Long,114.1,115.1,113.1,115.1
457,Long,115.1,116.1,114.1,114.03
498,Long,113.81,114.81,112.81,115.02
508,Long,114.08,115.08,113.08,113.02
556,Long,113.21,114.21,112.21,0.0
566,Long,112.95,113.95,111.95,113.95
588,Long,113.49,114.49,112.49,0.0
