time,type,current,reward,risk,close
102,long,112.21,112.71,111.71,112.8
174,long,112.15,112.65,111.65,111.65
196,long,111.98,112.48,111.48,111.47
245,long,112.05,112.55,111.55,111.55
270,long,112.42,112.92,111.92,113.38
322,long,112.92,113.42,112.42,113.69
382,long,112.54,113.04,112.04,111.99
408,long,112.17,112.67,111.67,111.48
436,long,111.44,111.94,110.94,110.77
451,long,112.28,112.78,111.78,111.76
507,long,111.4,111.9,110.9,110.9
541,long,110.43,110.93,109.93,109.78
566,long,110.74,111.24,110.24,109.97
582,long,110.41,110.91,109.91,109.78
