time,type,current,reward,risk,close
75,short,124.15,123.65,124.55,123.56
93,short,124.35,123.85,124.75,123.67
136,short,124.11,123.61,124.51,123.44
161,short,122.39,121.89,122.79,121.82
189,short,123.28,122.78,123.68,123.75
209,short,123.44,122.94,123.84,122.62
221,short,122.72,122.22,123.12,123.38
245,short,123.52,123.02,123.92,122.99
291,short,123.29,122.79,123.69,123.79
304,short,123.59,123.09,123.99,122.79
306,short,123.74,123.24,124.14,123.15
361,short,118.53,118.03,118.93,119.16
382,short,118.37,117.87,118.77,117.86
405,short,117.04,116.54,117.44,116.49
413,short,116.55,116.05,116.95,117.08
456,short,117.84,117.34,118.24,118.25
469,short,116.52,116.02,116.92,115.68
488,short,115.2,114.7,115.6,116.07
505,short,115.94,115.44,116.34,116.41
541,short,117.2,116.7,117.6,116.7
562,short,116.62,116.12,117.02,117.07
589,short,116.59,116.09,116.99,117.11
